,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
68,GUARULHOS,499.0486923911971,550.2856903187605,536.6266360397525,521.5134258391149,15210.0,68.37,625.8647482014388,546.6678385580528,2.98,SP,3518800
69,GUAÍRA,500.8540682414698,563.3181102362205,524.477694235589,515.9170426065162,491.0,79.43,661.71875,553.2571330639591,0.1,SP,3517406
70,HORTOLÂNDIA,495.33850303438976,547.1972353337828,534.2996209728365,519.2481996209729,2311.0,66.33500000000001,622.223658694247,543.6614435312458,0.45,SP,3519071
71,IBATÉ,485.3659649122807,527.0115789473684,523.9123333333333,504.0193333333333,426.0,68.66,614.5833333333334,530.9785087719299,0.08,SP,3519303
72,IBITINGA,512.9949191685912,568.954272517321,538.6552863436124,528.9696035242291,596.0,74.41,656.1904761904761,561.152911548846,0.12,SP,3519600
73,IBIÚNA,500.821144278607,547.3233830845771,532.9206572769954,517.7072769953052,628.0,65.92,619.6658711217184,543.6876665514405,0.12,SP,3519709
74,IGUAPE,490.8378006872852,535.7247422680413,524.9898360655737,514.936393442623,416.0,71.63499999999999,613.9864864864865,536.0950517900019,0.08,SP,3520301
75,ILHA SOLTEIRA,508.293009118541,557.9638297872341,537.3387283236995,519.8812138728324,455.0,74.17500000000001,610.7418397626112,546.8437241729836,0.09,SP,3520442
76,ILHABELA,496.04999999999995,531.7696202531646,519.06,518.1217647058824,264.0,62.120000000000005,600.0,533.0002769918094,0.05,SP,3520400
77,INDAIATUBA,523.3452009456265,580.8131442080379,550.4699551569506,535.1829596412556,2976.0,73.0,663.7460027409776,570.7114525385697,0.58,SP,3520509
78,ITANHAÉM,490.8358372456964,539.1175273865414,524.1280172413793,515.4962643678161,1035.0,64.495,604.1543026706231,534.7463897824113,0.2,SP,3522109
